Student ID,Student Name,Date of Birth,Field of Study,Year of Admission,Expected Year of Graduation,Current Semester,Specialization,Fees,Discount on Fees
528156,Jason Ferguson,2001-12-22,Mechanical Engineering,2021,2020,1,Machine Learning,177392,13752
986610,Amanda Fitzpatrick,1998-05-04,Electrical Engineering,2017,2018,2,Network Security,186918,23355
936952,Beverly Turner,2000-11-16,Computer Science,2021,2018,1,Web Development,119443,22862
889763,Dominique Matthews,2005-04-06,Chemical Engineering,2016,2021,4,Machine Learning,72305,10818
202479,Kyle Price,2000-07-20,Electrical Engineering,2022,2019,2,Network Security,165786,27411
964838,Andrew Robbins,2001-11-25,Chemical Engineering,2019,2018,1,Artificial Intelligence,169656,33081
300392,Ashley Delacruz,2000-04-11,Computer Science,2017,2020,1,Web Development,156764,24564
723050,Zachary Schultz,2002-05-26,Mechanical Engineering,2019,2023,3,Machine Learning,147764,18304
517825,Michael Anderson,2000-09-16,Chemical Engineering,2021,2020,3,Data Science,164829,16119
532575,Valerie English,2001-05-01,Chemical Engineering,2019,2022,4,Machine Learning,55523,7026
269809,Erin Carroll,2004-02-12,Chemical Engineering,2016,2022,4,Web Development,73893,9203
116204,Paul Collins,2005-10-11,Electrical Engineering,2022,2021,1,Network Security,187204,4370
187256,Michael Jackson,2005-08-06,Mechanical Engineering,2017,2018,4,Data Science,111696,2284
461713,Darrell Cobb,2000-02-18,Mechanical Engineering,2017,2022,4,Network Security,64793,5542
247251,Mr. William Benitez,2004-08-11,Civil Engineering,2016,2020,3,Web Development,81474,7096
684862,Connie Hamilton,2002-02-19,Computer Science,2017,2019,4,Network Security,77197,7788
236252,Daniel Lowery,1999-08-18,Mechanical Engineering,2019,2023,2,Artificial Intelligence,98094,12324
703371,Anthony Brooks,2005-07-03,Civil Engineering,2019,2023,1,Network Security,130261,19390
675405,Jason Mcgee,1997-07-27,Civil Engineering,2016,2018,3,Machine Learning,194593,30989
904034,Sheila Peters,2002-04-16,Computer Science,2017,2021,3,Web Development,62735,6607
849690,Christopher Johnson,2000-11-27,Electrical Engineering,2022,2019,4,Network Security,68559,11257
407743,Bridget Sanchez,2002-07-05,Electrical Engineering,2022,2021,1,Artificial Intelligence,184940,30388
551137,Trevor Stewart,2005-11-11,Mechanical Engineering,2019,2019,2,Artificial Intelligence,93808,17884
486371,Deanna Carter,2001-04-15,Civil Engineering,2016,2022,1,Network Security,141887,14286
589765,Debra Olson,1999-01-30,Computer Science,2018,2021,2,Web Development,87653,6837
214810,Allen Schroeder,2003-12-25,Mechanical Engineering,2018,2022,1,Data Science,122676,19852
206184,James Sullivan,2005-07-24,Electrical Engineering,2018,2022,3,Web Development,76174,584
981852,Debra Moore,2000-09-16,Civil Engineering,2019,2023,1,Artificial Intelligence,132474,4648
732768,Arthur Ramos,2002-08-06,Chemical Engineering,2017,2019,2,Network Security,152327,4830
903389,Earl Simmons,2001-06-10,Civil Engineering,2016,2018,2,Web Development,190435,21882
586293,Nicholas Herrera,2005-04-02,Electrical Engineering,2019,2022,4,Artificial Intelligence,80866,13009
132339,Tanya Cunningham,1998-06-05,Mechanical Engineering,2018,2022,2,Machine Learning,90766,11399
779707,Justin Gonzalez,2000-09-26,Electrical Engineering,2017,2020,3,Web Development,183139,31916
374078,Allen Howard,1997-07-27,Electrical Engineering,2022,2022,4,Network Security,175953,19218
498961,Daniel Munoz,2004-04-17,Electrical Engineering,2016,2021,1,Network Security,166502,1144
351672,Angel Cole,1997-10-18,Electrical Engineering,2021,2019,2,Web Development,191413,9679
572842,Brandon Hill,2000-06-03,Electrical Engineering,2018,2017,2,Machine Learning,114939,19362
417941,Taylor Sullivan,2005-05-17,Computer Science,2018,2019,3,Machine Learning,152066,28834
130234,Devon Gonzalez,1999-06-21,Computer Science,2019,2019,4,Network Security,119955,11301
319133,Matthew Garza,2000-07-12,Mechanical Engineering,2019,2018,2,Machine Learning,78001,14509
707565,Samuel Perez,1998-01-13,Civil Engineering,2016,2019,3,Network Security,181782,11498
560365,Jason Wong,2002-09-02,Mechanical Engineering,2019,2022,2,Artificial Intelligence,53384,8379
559001,Joshua Cox,2005-09-29,Mechanical Engineering,2017,2019,1,Data Science,164089,24697
202956,Elizabeth Davidson,2003-11-28,Civil Engineering,2019,2020,4,Machine Learning,59621,964
683417,Mrs. Melissa Peterson,2003-12-12,Electrical Engineering,2022,2017,4,Data Science,141910,2701
329436,Jennifer Medina,1998-09-23,Electrical Engineering,2021,2022,2,Web Development,196478,28649
175295,Terry Simmons PhD,2000-01-29,Mechanical Engineering,2020,2017,4,Machine Learning,115634,14197
163299,Julie Elliott,2002-09-03,Chemical Engineering,2022,2017,1,Web Development,87184,3845
813512,Spencer Olson,2003-06-15,Mechanical Engineering,2022,2023,1,Web Development,95306,7395
609076,Dr. Autumn Carlson MD,2001-08-12,Electrical Engineering,2018,2022,1,Web Development,184087,3535
437537,Jeffrey Shaw,2004-10-16,Electrical Engineering,2019,2021,4,Data Science,131320,18236
544867,Kimberly Johnson,2002-06-22,Computer Science,2022,2019,3,Web Development,158813,19278
940064,Carrie Barnes,2006-02-05,Civil Engineering,2016,2018,1,Data Science,152727,14556
535146,Anne Johnson,1997-06-06,Mechanical Engineering,2022,2023,3,Machine Learning,67158,4240
309247,John Bell,2002-07-09,Mechanical Engineering,2016,2022,3,Machine Learning,154492,16452
226754,Oscar Olson,2005-12-05,Mechanical Engineering,2017,2022,3,Data Science,74038,3288
597959,Danielle Gregory,2000-10-01,Civil Engineering,2019,2022,4,Data Science,73700,3236
126123,Javier Fuller,1999-05-04,Electrical Engineering,2017,2022,1,Web Development,187034,24629
329738,Timothy Carroll,2002-04-08,Civil Engineering,2019,2017,4,Network Security,107927,18638
933656,Brian Evans,1998-09-28,Civil Engineering,2021,2019,3,Network Security,90229,14428
356108,Jacqueline Richards,2002-12-16,Computer Science,2022,2022,3,Data Science,108025,13968
191258,Alan Camacho,2006-02-19,Civil Engineering,2018,2018,4,Artificial Intelligence,196373,15108
559648,Michelle Fritz,1999-03-13,Civil Engineering,2018,2020,3,Artificial Intelligence,106009,6296
693544,James Cruz,1998-10-09,Mechanical Engineering,2020,2017,2,Artificial Intelligence,117619,10142
244481,Morgan Briggs,2004-05-16,Chemical Engineering,2016,2018,3,Artificial Intelligence,184532,24973
724211,Brandon Dominguez,1997-10-22,Mechanical Engineering,2022,2019,4,Web Development,160531,24964
831117,Robin Rivera,2006-05-07,Mechanical Engineering,2016,2021,1,Web Development,113375,12479
755875,Latoya Pham,2005-09-15,Civil Engineering,2020,2020,3,Network Security,59210,9485
562125,Patrick King,2001-02-25,Civil Engineering,2020,2021,2,Machine Learning,187935,1726
695800,Seth Marshall,1997-08-11,Electrical Engineering,2022,2020,4,Web Development,93944,11133
389056,Scott Andrade,1998-11-17,Chemical Engineering,2017,2023,4,Web Development,132700,7523
293237,Dennis Lee,2004-07-17,Civil Engineering,2018,2022,3,Network Security,168105,6393
953845,Jodi Molina,2004-05-17,Electrical Engineering,2018,2023,2,Data Science,121175,13251
165543,Gina Martin,1997-06-04,Computer Science,2021,2017,1,Web Development,183000,35326
333585,Gina Pratt,2005-06-22,Electrical Engineering,2019,2020,3,Web Development,153885,5169
737952,Matthew Salinas,1998-02-11,Computer Science,2022,2018,1,Artificial Intelligence,131074,17686
748986,Samantha Hicks,1998-08-11,Computer Science,2018,2020,4,Web Development,132690,21447
904139,Kirk Delgado,1998-11-25,Chemical Engineering,2020,2023,3,Artificial Intelligence,98130,6189
485030,Bryan Henderson,2005-05-09,Chemical Engineering,2018,2022,1,Network Security,81007,10556
902941,Lisa Cunningham,2002-08-18,Mechanical Engineering,2019,2018,4,Machine Learning,61082,8746
582199,Jessica Chaney,1999-08-22,Mechanical Engineering,2017,2017,3,Machine Learning,154687,21894
352057,Benjamin Gonzalez,1998-05-20,Computer Science,2021,2021,1,Data Science,144556,25990
119093,Brent Gray,1999-09-28,Mechanical Engineering,2020,2021,1,Artificial Intelligence,100243,3168
205515,Miguel Marquez,2003-02-08,Computer Science,2021,2023,3,Network Security,107105,6254
334135,Joan Jones,2001-06-14,Mechanical Engineering,2021,2022,1,Artificial Intelligence,123645,1041
134426,Tiffany Tate,2006-01-06,Mechanical Engineering,2018,2019,4,Data Science,111711,2374
785228,Marissa Davis,1999-05-20,Computer Science,2021,2018,3,Web Development,85212,5551
744312,Larry Powers,2000-11-24,Civil Engineering,2020,2017,2,Machine Learning,138792,20036
148258,Herbert Hunter,2006-02-17,Computer Science,2020,2017,4,Machine Learning,123547,3619
652290,Ronald Mckinney,1997-08-06,Chemical Engineering,2018,2021,2,Machine Learning,117541,9048
983310,Maria Torres,2001-08-10,Civil Engineering,2016,2021,2,Machine Learning,181959,34852
382938,Michelle Rogers,2003-08-26,Mechanical Engineering,2016,2020,1,Web Development,104607,1304
892339,Tiffany Simon,1998-09-22,Mechanical Engineering,2017,2021,2,Data Science,124057,19767
314250,Brett Robinson,2004-06-22,Chemical Engineering,2022,2020,3,Machine Learning,73283,11276
797817,Melissa Singh,2005-01-20,Civil Engineering,2016,2021,3,Artificial Intelligence,173529,8011
829690,Michael Cameron,1998-04-18,Electrical Engineering,2018,2021,3,Data Science,179263,22436
881795,Tracie Jimenez,2002-05-09,Chemical Engineering,2016,2018,1,Web Development,55973,6837
372155,David Trujillo,1999-04-02,Mechanical Engineering,2022,2020,1,Artificial Intelligence,186123,32574
268020,Nicole Hoover,2004-06-21,Mechanical Engineering,2017,2023,1,Web Development,129188,18283
859565,Nathan Dunn,2004-04-01,Electrical Engineering,2020,2017,1,Data Science,62800,5291
299783,Richard Jones,2000-10-17,Computer Science,2020,2019,2,Artificial Intelligence,161593,48
268896,Mark Martinez,2004-06-02,Chemical Engineering,2020,2021,3,Network Security,59430,7365
148871,Madeline Cordova,2004-10-28,Chemical Engineering,2016,2021,4,Network Security,154278,22563
735681,Charles Moreno,2005-06-14,Chemical Engineering,2020,2021,1,Machine Learning,135309,1235
176739,Mark Finley,1999-12-04,Electrical Engineering,2016,2023,2,Network Security,149666,12143
919867,George Graham,2001-10-13,Chemical Engineering,2022,2018,1,Data Science,141470,2625
274635,Heather Santos,1999-05-30,Chemical Engineering,2016,2017,2,Web Development,95176,16202
934057,Mrs. Melissa Roy DVM,2002-03-07,Civil Engineering,2018,2020,2,Machine Learning,138996,3413
542278,Jessica Cole,1997-08-13,Civil Engineering,2018,2018,1,Artificial Intelligence,63992,4232
279924,Anthony Woodard,1999-06-06,Chemical Engineering,2021,2019,2,Network Security,76762,6239
719475,Aaron Adams,2005-01-07,Mechanical Engineering,2016,2023,4,Data Science,117606,20724
514951,Tiffany Green,1998-05-26,Mechanical Engineering,2022,2022,3,Web Development,82104,8448
769534,Michael Garcia,2002-09-12,Computer Science,2019,2019,3,Artificial Intelligence,120814,245
632840,Mary Brown,2002-08-16,Electrical Engineering,2016,2018,4,Artificial Intelligence,107513,16539
705594,Brittany Thompson,2006-05-09,Chemical Engineering,2021,2023,2,Web Development,170802,22587
365107,Anna Bruce,2005-01-23,Mechanical Engineering,2021,2022,1,Data Science,122509,2410
321337,Mallory Rojas,2003-02-11,Electrical Engineering,2016,2018,3,Network Security,91203,8970
820665,Andrew Mcdaniel,2004-09-11,Electrical Engineering,2021,2021,4,Artificial Intelligence,63312,9037
296318,Michael Harmon,2003-01-29,Computer Science,2019,2022,1,Data Science,187467,29568
227286,Brittany Rich,2004-07-20,Computer Science,2019,2021,3,Machine Learning,167108,5658
542430,Curtis Herrera,2005-08-31,Computer Science,2022,2018,2,Artificial Intelligence,60184,4652
196288,Mariah Guzman,2000-06-06,Computer Science,2019,2019,4,Artificial Intelligence,77861,3328
781076,Patricia Martin,2002-09-26,Electrical Engineering,2021,2019,2,Network Security,178109,11115
727772,Amanda Parker,2000-06-03,Electrical Engineering,2017,2020,3,Data Science,192584,25675
893745,Diana Brown,2005-03-29,Chemical Engineering,2018,2021,2,Artificial Intelligence,143270,22407
995738,James Chen,1998-06-06,Mechanical Engineering,2018,2019,1,Machine Learning,117915,4759
684398,Tyler Scott,2002-04-05,Mechanical Engineering,2022,2023,3,Data Science,132419,24263
924931,Stephanie Rubio,2001-05-05,Computer Science,2020,2018,1,Machine Learning,57653,9181
205734,Paul West,2006-02-12,Electrical Engineering,2022,2020,1,Machine Learning,66963,1106
267638,Zachary Boyd,1998-06-28,Electrical Engineering,2020,2020,2,Data Science,142057,12569
329766,Julia Holder,1998-07-04,Civil Engineering,2022,2019,3,Data Science,82507,2335
406761,Amy Dixon,2001-04-03,Chemical Engineering,2018,2018,2,Data Science,162745,4716
959961,Erin Mullen,1998-10-22,Mechanical Engineering,2022,2021,3,Data Science,59778,10528
177613,Kathryn Camacho,2001-05-19,Computer Science,2022,2019,1,Data Science,153373,27391
488831,Kara Mclaughlin,2005-09-14,Computer Science,2016,2018,2,Web Development,109141,18474
658976,Mrs. Morgan Sullivan,1998-10-03,Computer Science,2020,2018,4,Data Science,105982,3579
140370,Lisa Gray,1998-07-26,Civil Engineering,2022,2017,4,Data Science,196269,32431
538492,Mark Jimenez,2003-02-16,Electrical Engineering,2021,2017,2,Artificial Intelligence,187183,3583
476654,Michael Long,1997-11-05,Mechanical Engineering,2017,2020,2,Web Development,136989,20163
227544,Matthew Wade,2002-09-22,Civil Engineering,2016,2023,2,Data Science,135968,7960
580194,Kimberly Medina,2005-03-17,Civil Engineering,2020,2020,2,Web Development,141354,23126
648786,Crystal Buchanan,2004-11-27,Chemical Engineering,2022,2022,1,Network Security,75127,10041
464643,John Paul,1999-01-23,Computer Science,2016,2021,4,Web Development,95224,5811
581977,Daniel Conrad,1999-11-22,Civil Engineering,2021,2020,1,Artificial Intelligence,110475,20159
450268,Richard Huff,1997-12-03,Computer Science,2022,2022,1,Web Development,110181,2079
540421,Terry Gray,2003-12-23,Electrical Engineering,2018,2020,2,Artificial Intelligence,82860,6006
485417,Justin Collins,2004-05-11,Mechanical Engineering,2017,2019,4,Web Development,153304,2015
706413,Jessica Dickerson,2004-03-21,Mechanical Engineering,2021,2017,2,Network Security,98943,13728
723561,Diane Nelson,2004-10-28,Chemical Engineering,2016,2022,3,Web Development,85792,2465
364588,Rachel Martinez,1998-07-14,Computer Science,2017,2022,4,Artificial Intelligence,62038,6859
468604,Maxwell Macias,2000-10-21,Electrical Engineering,2022,2023,1,Machine Learning,72476,11910
721032,Crystal Fuller,1999-06-23,Mechanical Engineering,2019,2022,3,Web Development,100001,12170
677757,Donna Howard,2004-06-04,Mechanical Engineering,2022,2019,3,Machine Learning,63925,5234
577908,Jorge Owens,2005-02-16,Electrical Engineering,2020,2019,1,Machine Learning,77018,4296
730873,Debra Thompson,1998-07-18,Civil Engineering,2020,2020,2,Machine Learning,197917,13505
144476,Wanda Campos,2003-11-10,Mechanical Engineering,2016,2018,2,Network Security,184011,11359
431460,Walter Hernandez,2005-09-06,Chemical Engineering,2017,2017,1,Data Science,54926,5795
884871,Juan Smith,2004-01-23,Computer Science,2017,2023,4,Network Security,141215,3957
980406,Erin Perez,2001-04-02,Computer Science,2016,2022,2,Artificial Intelligence,165119,14176
186328,Amanda Lopez,2001-10-21,Electrical Engineering,2019,2017,1,Data Science,103238,9544
206456,Robert Norton,1999-03-03,Civil Engineering,2017,2022,2,Network Security,91266,8849
704441,Anthony Simmons,2001-09-11,Chemical Engineering,2018,2021,3,Machine Learning,194372,8560
543045,Vincent Merritt,2000-10-04,Civil Engineering,2021,2023,4,Machine Learning,160575,11722
746447,Cynthia Martinez,2000-09-05,Chemical Engineering,2022,2018,1,Network Security,143315,15417
122265,Danielle Matthews,2002-12-08,Mechanical Engineering,2021,2018,2,Machine Learning,66549,9933
197627,Alejandra Ross,1998-09-12,Electrical Engineering,2017,2020,4,Web Development,198328,1213
176672,Brett Wilson DDS,2000-06-06,Civil Engineering,2021,2021,1,Web Development,160747,22703
601395,Stephanie Wheeler,2002-09-01,Electrical Engineering,2017,2020,2,Data Science,51587,4115
661424,Shaun Ruiz,2003-12-02,Chemical Engineering,2018,2020,2,Artificial Intelligence,75688,3511
812997,Andrew Ibarra,1998-11-24,Computer Science,2019,2017,1,Artificial Intelligence,93615,3383
413422,Lindsay Fernandez,2001-10-12,Electrical Engineering,2016,2019,4,Network Security,88998,10590
674865,Scott Higgins,2001-09-14,Civil Engineering,2021,2017,1,Machine Learning,163880,740
788806,Troy Schultz,2005-11-19,Electrical Engineering,2022,2018,2,Artificial Intelligence,102993,11883
153003,Allen Myers,2000-05-24,Electrical Engineering,2020,2020,4,Data Science,177002,14185
744357,Patrick Torres,2005-04-01,Electrical Engineering,2022,2018,2,Data Science,153644,15824
620913,Maria Morgan,2003-05-04,Computer Science,2016,2020,4,Data Science,153103,4719
322335,Shelby Davis,2000-11-20,Computer Science,2018,2017,2,Artificial Intelligence,134459,1901
296324,Erica Anderson,2003-05-05,Computer Science,2017,2021,3,Web Development,163493,2459
230051,Robert Hinton,2005-10-25,Computer Science,2016,2019,4,Network Security,52188,3436
452767,Cindy Alvarado,2004-09-21,Mechanical Engineering,2017,2018,1,Artificial Intelligence,158486,30297
321728,Shannon Andrade,2003-09-12,Computer Science,2020,2019,4,Web Development,72155,13683
266890,Brian White,2000-05-04,Computer Science,2018,2022,3,Web Development,182976,7407
286797,Angela Norris,2002-01-03,Civil Engineering,2018,2017,4,Network Security,67724,11619
370795,Benjamin Briggs,1999-01-15,Chemical Engineering,2017,2017,2,Artificial Intelligence,143066,13720
887673,Cole Walters,1999-06-24,Mechanical Engineering,2016,2018,4,Data Science,66731,2413
268954,Wendy Mcgee,2003-07-20,Electrical Engineering,2019,2017,2,Network Security,66332,2720
194408,William Abbott,2001-12-13,Civil Engineering,2022,2023,3,Machine Learning,142356,21364
894403,Rachel Davis,1998-06-25,Mechanical Engineering,2016,2020,1,Network Security,113005,493
403684,Patricia Glover,2001-12-24,Mechanical Engineering,2020,2020,1,Network Security,144396,15039
488042,Kimberly Lewis,2004-10-03,Electrical Engineering,2016,2023,3,Network Security,145341,24641
389139,Rhonda Newman,1998-08-07,Electrical Engineering,2022,2017,1,Web Development,89435,6463
205632,Larry Jones,2000-09-01,Computer Science,2020,2019,3,Data Science,179521,33289
783479,Raymond Bryant,2005-08-02,Civil Engineering,2017,2021,2,Network Security,54772,10648
529856,Catherine Rogers,1997-11-08,Chemical Engineering,2019,2018,4,Network Security,124488,5602
631015,Marcus Perkins,1999-08-27,Electrical Engineering,2020,2023,4,Machine Learning,100908,3799
456129,Christopher Carlson,2006-03-26,Electrical Engineering,2016,2021,3,Machine Learning,156399,6548
696435,Kim Washington,2001-01-11,Mechanical Engineering,2016,2018,4,Network Security,90057,11934
729591,April Matthews,2001-06-28,Civil Engineering,2016,2019,2,Data Science,106132,14065
811661,Ronnie Schmidt,2000-10-02,Electrical Engineering,2021,2020,3,Machine Learning,110310,13513
388230,Kimberly Young,2005-06-30,Computer Science,2021,2017,2,Artificial Intelligence,62778,1492
722222,Jon Sims,1998-01-27,Electrical Engineering,2018,2022,3,Machine Learning,92521,1058
851897,Dana Elliott,2002-06-22,Chemical Engineering,2022,2022,4,Machine Learning,130123,10539
601944,Jason Richardson,2003-11-11,Chemical Engineering,2022,2019,1,Machine Learning,186031,15909
469351,James Warren,2002-04-03,Mechanical Engineering,2017,2017,4,Artificial Intelligence,92751,3668
960870,Christine Lopez,2004-08-09,Electrical Engineering,2020,2019,3,Network Security,164390,11883
335654,Lisa Dunlap,2002-08-19,Computer Science,2017,2023,4,Artificial Intelligence,59988,1547
527272,Anthony Reed,1999-08-28,Chemical Engineering,2018,2019,4,Data Science,155345,747
874270,Jeffrey Thompson,1999-12-30,Civil Engineering,2018,2019,1,Network Security,91734,11413
843495,William Black,2004-09-07,Civil Engineering,2021,2017,4,Data Science,94373,10334
506393,Jessica Mann,2001-09-29,Computer Science,2019,2022,1,Web Development,194427,26237
122444,Kim Montgomery MD,2003-10-03,Chemical Engineering,2021,2019,3,Web Development,162958,29892
809361,Mary Jackson,2003-06-18,Chemical Engineering,2019,2023,3,Data Science,171949,10521
591106,Gary Salazar,2000-05-31,Electrical Engineering,2017,2019,3,Artificial Intelligence,119483,1221
372280,Shane Evans,2005-07-14,Mechanical Engineering,2021,2021,1,Data Science,57660,4072
408988,Teresa Daniels,2004-10-12,Chemical Engineering,2017,2021,3,Web Development,186144,8069
769748,Barbara Rodriguez,2003-12-24,Electrical Engineering,2021,2020,4,Web Development,90697,15807
148650,Kenneth Black,2002-06-14,Chemical Engineering,2016,2020,2,Artificial Intelligence,86311,16572
558343,Hannah Thomas,1998-01-23,Electrical Engineering,2022,2018,1,Machine Learning,162107,22802
989792,Richard Valdez,2000-10-30,Electrical Engineering,2019,2019,2,Artificial Intelligence,138432,15479
731141,Philip Sanchez,1999-08-27,Civil Engineering,2021,2018,1,Network Security,122352,9339
297758,Richard Carlson,1998-10-10,Computer Science,2017,2021,1,Artificial Intelligence,165465,31198
150807,Lynn Kaufman,1998-12-29,Mechanical Engineering,2020,2022,4,Artificial Intelligence,103627,19145
545523,Brandi Collier,1998-08-18,Computer Science,2022,2019,1,Artificial Intelligence,111319,4342
246513,Jessica Evans,1998-11-28,Mechanical Engineering,2020,2023,2,Web Development,94632,14338
207784,Diane Williams,2001-05-23,Computer Science,2021,2021,1,Machine Learning,183450,33258
719522,Gregory Valdez,1998-07-08,Computer Science,2018,2022,3,Artificial Intelligence,191924,1353
640723,Austin Aguirre,2002-02-23,Mechanical Engineering,2019,2019,3,Data Science,55801,1672
493398,Michael Perkins,2000-01-30,Electrical Engineering,2021,2023,1,Web Development,50466,3467
488209,Todd Caldwell,2001-01-09,Computer Science,2019,2022,1,Machine Learning,63039,11368
640899,Brent Yang,2005-08-21,Mechanical Engineering,2017,2018,1,Artificial Intelligence,155877,12464
692637,Nicole Mason,1999-12-23,Electrical Engineering,2018,2020,2,Artificial Intelligence,185644,12774
276524,Jennifer Thompson,2003-04-29,Electrical Engineering,2017,2020,4,Web Development,107722,6253
309989,William Ryan,2004-07-17,Civil Engineering,2016,2021,1,Data Science,176470,34685
296166,Angela Johnson,1998-11-19,Computer Science,2017,2021,3,Web Development,167531,5491
152994,William Morris,1998-10-29,Mechanical Engineering,2016,2018,4,Data Science,105496,17295
654405,Stacey Romero DDS,2000-04-13,Computer Science,2022,2021,4,Artificial Intelligence,180645,13216
435908,Mary Yang,1998-07-01,Computer Science,2020,2023,4,Web Development,151781,21946
752968,Brett Glenn,2002-12-05,Mechanical Engineering,2022,2018,4,Artificial Intelligence,156734,6041
894710,Nancy Ward,1999-02-09,Mechanical Engineering,2018,2023,1,Artificial Intelligence,174645,28776
892369,Jonathan Gordon,1997-07-19,Electrical Engineering,2018,2019,4,Artificial Intelligence,164800,30425
